dstport,protocol,tag
140,ipv4,sv_P434
16,rdp,sv_P709
35,mfe-nsp,sv_P219
98,chaos,sv_P646
121,cbt,sv_P743
110,igp,sv_P69
82,hmp,sv_P544
42,dcn-meas,sv_P630
52,bbn-rcc-mon,sv_P607
117,egp,sv_P910
91,argus,sv_P953
60,igmp,sv_P462
83,nvp-II,sv_P305
31,egp,sv_P600
68,egp,sv_P774
138,mfe-nsp,sv_P92
33,ggp,sv_P870
40,icmp,sv_P46
76,st,sv_P986
14,hmp,sv_P688
8,tcp,sv_P149
7,udp,sv_P46
134,trunk-2,sv_P28
107,dcn-meas,sv_P585
90,trunk-1,sv_P48
146,igp,sv_P246
72,igp,sv_P958
107,egp,sv_P987
47,igmp,sv_P575
144,udp,sv_P827
35,pup,sv_P46
15,igp,sv_P437
94,igp,sv_P44
145,egp,sv_P974
120,xnet,sv_P567
91,netblt,sv_P62
116,igp,sv_P749
29,mux,sv_P696
39,udp,sv_P129
35,tcp,sv_P680
61,mux,sv_P564
127,udp,sv_P658
35,chaos,sv_P660
95,ggp,sv_P688
73,egp,sv_P409
132,mfe-nsp,sv_P132
7,icmp,sv_P941
96,st,sv_P961
13,mfe-nsp,sv_P576
146,argus,sv_P181
146,egp,sv_P631
62,ipv4,sv_P771
55,ipv4,sv_P42
73,leaf-2,sv_P978
112,leaf-2,sv_P549
54,hmp,sv_P860
59,mux,sv_P231
127,rdp,sv_P728
82,trunk-2,sv_P365
0,trunk-1,sv_P621
134,mux,sv_P490
1,iso-tp4,sv_P626
2,rdp,sv_P886
122,trunk-2,sv_P788
67,argus,sv_P12
12,xnet,sv_P128
26,chaos,sv_P58
130,leaf-2,sv_P7
5,cbt,sv_P523
64,bbn-rcc-mon,sv_P114
121,mfe-nsp,sv_P899
62,mfe-nsp,sv_P659
128,st,sv_P988
19,tcp,sv_P332
115,hmp,sv_P100
16,igp,sv_P522
15,xns-idp,sv_P882
73,leaf-2,sv_P233
57,nvp-II,sv_P265
9,icmp,sv_P309
0,icmp,sv_P601
18,mux,sv_P926
105,emcon,sv_P124
115,nvp-II,sv_P531
9,pup,sv_P938
79,mux,sv_P478
106,netblt,sv_P937
22,mfe-nsp,sv_P425
132,argus,sv_P119
130,chaos,sv_P491
59,pup,sv_P666
42,trunk-1,sv_P935
71,chaos,sv_P731
55,xns-idp,sv_P146
38,xnet,sv_P886
31,pup,sv_P760
58,irtp,sv_P396
120,argus,sv_P113
82,udp,sv_P197
132,emcon,sv_P75
114,hmp,sv_P857
107,irtp,sv_P137
27,chaos,sv_P815
103,tcp,sv_P948
117,iso-tp4,sv_P304
11,ggp,sv_P818
106,leaf-2,sv_P150
125,mfe-nsp,sv_P794
2,ggp,sv_P839
18,nvp-II,sv_P593
135,iso-tp4,sv_P910
75,xns-idp,sv_P254
45,mux,sv_P20
65,netblt,sv_P789
126,netblt,sv_P921
6,tcp,sv_P389
140,irtp,sv_P713
42,emcon,sv_P58
131,mfe-nsp,sv_P641
44,prm,sv_P992
54,bbn-rcc-mon,sv_P490
1,trunk-1,sv_P698
72,dcn-meas,sv_P841
17,leaf-1,sv_P472
146,egp,sv_P21
56,trunk-2,sv_P345
113,xns-idp,sv_P913
138,igp,sv_P12
90,pup,sv_P951
82,udp,sv_P872
76,trunk-2,sv_P63
139,leaf-2,sv_P643
82,mfe-nsp,sv_P370
76,egp,sv_P958
134,igp,sv_P860
62,hmp,sv_P330
41,hmp,sv_P505
18,xnet,sv_P458
102,pup,sv_P152
89,ipv4,sv_P30
82,tcp,sv_P536
42,emcon,sv_P913
53,xnet,sv_P527
24,netblt,sv_P185
40,argus,sv_P263
114,tcp,sv_P741
38,tcp,sv_P152
9,ggp,sv_P535
83,pup,sv_P722
133,xns-idp,sv_P81
16,xns-idp,sv_P831
20,igmp,sv_P531
124,trunk-2,sv_P903
101,rdp,sv_P765
102,ipv4,sv_P726
129,mux,sv_P682
26,rdp,sv_P350
27,ipv4,sv_P554
55,tcp,sv_P35
22,mfe-nsp,sv_P995
112,argus,sv_P893
19,udp,sv_P714
78,cbt,sv_P722
57,trunk-1,sv_P254
105,nvp-II,sv_P730
83,mux,sv_P444
126,bbn-rcc-mon,sv_P412
64,icmp,sv_P187
73,leaf-1,sv_P853
77,ipv4,sv_P115
41,udp,sv_P718
19,xns-idp,sv_P412
133,udp,sv_P974
133,irtp,sv_P896
77,trunk-2,sv_P940
124,pup,sv_P608
82,prm,sv_P268
81,cbt,sv_P517
4,udp,sv_P212
51,netblt,sv_P941
82,mux,sv_P638
69,trunk-2,sv_P617
131,iso-tp4,sv_P16
24,udp,sv_P181
115,dcn-meas,sv_P718
120,cbt,sv_P77
130,iso-tp4,sv_P568
31,tcp,sv_P160
41,irtp,sv_P670
86,icmp,sv_P682
28,nvp-II,sv_P826
0,irtp,sv_P525
65,trunk-1,sv_P131
69,hmp,sv_P323
44,rdp,sv_P723
103,leaf-1,sv_P755
142,nvp-II,sv_P303
80,argus,sv_P97
34,egp,sv_P263
43,emcon,sv_P668
83,trunk-1,sv_P289
13,leaf-2,sv_P865
113,udp,sv_P87
6,bbn-rcc-mon,sv_P613
88,cbt,sv_P262
105,ipv4,sv_P482
120,cbt,sv_P632
19,rdp,sv_P670
27,leaf-1,sv_P554
146,prm,sv_P942
113,xns-idp,sv_P627
141,ggp,sv_P312
147,netblt,sv_P702
48,xnet,sv_P798
94,mux,sv_P953
126,leaf-1,sv_P712
147,igp,sv_P203
110,tcp,sv_P676
104,nvp-II,sv_P607
99,mux,sv_P180
45,chaos,sv_P182
45,dcn-meas,sv_P632
143,trunk-2,sv_P429
71,iso-tp4,sv_P179
107,egp,sv_P537
117,trunk-1,sv_P469
51,leaf-1,sv_P161
124,icmp,sv_P937
79,xnet,sv_P668
23,argus,sv_P69
139,xnet,sv_P313
6,ipv4,sv_P19
93,leaf-2,sv_P376
11,ggp,sv_P24
99,xnet,sv_P456
4,emcon,sv_P241
111,tcp,sv_P583
147,trunk-1,sv_P440
140,mux,sv_P802
109,leaf-2,sv_P379
111,pup,sv_P347
90,xnet,sv_P799
62,hmp,sv_P90
40,ipv4,sv_P502
128,netblt,sv_P328
103,igmp,sv_P746
5,leaf-2,sv_P97
16,ipv4,sv_P972
146,argus,sv_P176
70,igp,sv_P121
53,leaf-2,sv_P46
147,cbt,sv_P452
26,cbt,sv_P626
128,ggp,sv_P171
27,nvp-II,sv_P402
93,prm,sv_P435
70,igmp,sv_P354
141,xns-idp,sv_P392
143,netblt,sv_P267
13,iso-tp4,sv_P781
119,mux,sv_P175
9,prm,sv_P677
121,igmp,sv_P714
71,icmp,sv_P440
31,trunk-1,sv_P220
91,dcn-meas,sv_P778
8,nvp-II,sv_P71
32,emcon,sv_P782
131,leaf-2,sv_P227
58,igp,sv_P420
72,bbn-rcc-mon,sv_P655
23,trunk-1,sv_P24
74,ipv4,sv_P753
14,xnet,sv_P601
90,chaos,sv_P835
96,dcn-meas,sv_P239
24,egp,sv_P821
30,tcp,sv_P804
20,igp,sv_P599
26,netblt,sv_P158
117,leaf-2,sv_P984
119,netblt,sv_P580
64,cbt,sv_P397
27,igp,sv_P612
87,udp,sv_P97
132,trunk-2,sv_P850
74,igp,sv_P743
130,mfe-nsp,sv_P230
58,igmp,sv_P765
14,xnet,sv_P246
11,leaf-2,sv_P729
128,emcon,sv_P853
32,leaf-2,sv_P579
92,mfe-nsp,sv_P145
128,netblt,sv_P336
1,icmp,sv_P40
11,irtp,sv_P127
57,trunk-1,sv_P857
120,xns-idp,sv_P676
110,igmp,sv_P513
21,udp,sv_P232
63,argus,sv_P880
97,iso-tp4,sv_P104
29,tcp,sv_P461
115,trunk-2,sv_P394
0,leaf-2,sv_P676
144,xnet,sv_P624
11,igmp,sv_P534
17,mfe-nsp,sv_P164
90,rdp,sv_P666
70,trunk-1,sv_P474
80,pup,sv_P416
96,leaf-1,sv_P142
17,mfe-nsp,sv_P214
105,icmp,sv_P90
117,chaos,sv_P767
102,trunk-2,sv_P279
142,xnet,sv_P971
130,igmp,sv_P752
135,chaos,sv_P946
145,tcp,sv_P340
61,hmp,sv_P991
19,icmp,sv_P895
58,xnet,sv_P682
89,bbn-rcc-mon,sv_P763
1,leaf-1,sv_P375
74,chaos,sv_P873
118,igp,sv_P728
22,xnet,sv_P448
36,trunk-1,sv_P881
116,hmp,sv_P578
95,icmp,sv_P835
143,iso-tp4,sv_P320
8,xnet,sv_P157
127,tcp,sv_P824
143,prm,sv_P893
59,leaf-2,sv_P174
16,nvp-II,sv_P606
67,netblt,sv_P708
134,prm,sv_P323
45,igmp,sv_P94
3,rdp,sv_P741
58,netblt,sv_P808
146,cbt,sv_P29
18,mux,sv_P688
58,icmp,sv_P591
141,xns-idp,sv_P558
65,icmp,sv_P507
22,irtp,sv_P530
117,mux,sv_P322
95,pup,sv_P7
46,dcn-meas,sv_P944
60,rdp,sv_P479
22,st,sv_P103
83,igmp,sv_P329
57,argus,sv_P604
61,tcp,sv_P322
43,igmp,sv_P604
48,argus,sv_P414
112,udp,sv_P778
75,hmp,sv_P175
68,egp,sv_P90
119,irtp,sv_P605
119,mux,sv_P788
48,chaos,sv_P737
66,netblt,sv_P179
67,xnet,sv_P258
122,udp,sv_P227
11,leaf-1,sv_P195
56,hmp,sv_P389
44,udp,sv_P713
51,hmp,sv_P37
99,trunk-1,sv_P5
122,netblt,sv_P580
83,trunk-1,sv_P63
11,udp,sv_P615
146,igmp,sv_P57
119,igp,sv_P320
82,st,sv_P889
69,emcon,sv_P438
50,egp,sv_P71
138,netblt,sv_P120
98,ggp,sv_P158
85,trunk-1,sv_P279
102,igmp,sv_P615
38,st,sv_P107
146,rdp,sv_P598
57,icmp,sv_P743
36,leaf-1,sv_P96
94,chaos,sv_P782
29,trunk-1,sv_P540
55,pup,sv_P332
20,udp,sv_P83
122,ipv4,sv_P600
107,prm,sv_P394
40,hmp,sv_P415
53,chaos,sv_P436
0,icmp,sv_P567
16,bbn-rcc-mon,sv_P144
58,irtp,sv_P345
26,bbn-rcc-mon,sv_P488
4,xnet,sv_P83
11,udp,sv_P409
1,tcp,sv_P87
59,mux,sv_P386
113,mux,sv_P285
62,emcon,sv_P508
66,netblt,sv_P907
82,cbt,sv_P742
59,pup,sv_P614
105,rdp,sv_P478
60,prm,sv_P518
62,iso-tp4,sv_P650
142,nvp-II,sv_P730
24,xns-idp,sv_P636
132,ggp,sv_P431
147,rdp,sv_P120
55,mux,sv_P855
126,leaf-2,sv_P599
103,nvp-II,sv_P817
72,chaos,sv_P650
96,chaos,sv_P39
135,leaf-2,sv_P409
65,argus,sv_P39
116,netblt,sv_P535
22,icmp,sv_P567
40,icmp,sv_P238
135,prm,sv_P259
110,rdp,sv_P259
17,argus,sv_P682
12,trunk-1,sv_P694
64,chaos,sv_P650
22,trunk-2,sv_P313
41,igp,sv_P546
46,tcp,sv_P857
37,cbt,sv_P537
114,udp,sv_P532
4,leaf-2,sv_P533
71,igp,sv_P206
121,igmp,sv_P941
19,mux,sv_P796
28,dcn-meas,sv_P861
5,iso-tp4,sv_P296
135,iso-tp4,sv_P635
125,st,sv_P150
138,icmp,sv_P509
122,egp,sv_P845
30,argus,sv_P741
33,igp,sv_P490
23,irtp,sv_P610
51,xns-idp,sv_P937
75,iso-tp4,sv_P655
97,pup,sv_P745
76,mfe-nsp,sv_P412
52,egp,sv_P209
55,argus,sv_P890
139,bbn-rcc-mon,sv_P500
91,emcon,sv_P681
144,tcp,sv_P332
137,tcp,sv_P294
79,pup,sv_P678
85,xnet,sv_P930
107,igp,sv_P983
84,tcp,sv_P574
0,hmp,sv_P872
44,tcp,sv_P221
102,ggp,sv_P803
89,leaf-2,sv_P22
46,hmp,sv_P327
132,cbt,sv_P274
79,xnet,sv_P934
88,leaf-2,sv_P474
27,leaf-2,sv_P882
53,igp,sv_P552
75,tcp,sv_P158
77,leaf-2,sv_P939
34,argus,sv_P202
45,igmp,sv_P383
92,irtp,sv_P61
127,emcon,sv_P459
38,trunk-1,sv_P518
78,emcon,sv_P746
127,emcon,sv_P924
40,xns-idp,sv_P978
77,trunk-1,sv_P32
126,mfe-nsp,sv_P622
138,xns-idp,sv_P716
105,tcp,sv_P115
46,pup,sv_P863
98,iso-tp4,sv_P2
8,hmp,sv_P529
55,irtp,sv_P949
147,iso-tp4,sv_P57
7,tcp,sv_P715
110,cbt,sv_P762
4,ipv4,sv_P716
20,ipv4,sv_P224
64,st,sv_P676
126,udp,sv_P509
52,ggp,sv_P309
44,iso-tp4,sv_P844
107,trunk-1,sv_P56
113,leaf-1,sv_P592
141,igmp,sv_P224
106,icmp,sv_P789
99,st,sv_P97
4,irtp,sv_P889
147,rdp,sv_P600
109,trunk-2,sv_P458
42,leaf-1,sv_P457
109,chaos,sv_P176
133,netblt,sv_P918
137,ipv4,sv_P944
59,udp,sv_P522
111,egp,sv_P297
32,netblt,sv_P406
66,igp,sv_P933
47,ipv4,sv_P550
10,iso-tp4,sv_P536
73,igp,sv_P383
97,pup,sv_P892
11,xns-idp,sv_P344
80,rdp,sv_P682
27,mfe-nsp,sv_P711
1,mux,sv_P505
57,netblt,sv_P974
9,bbn-rcc-mon,sv_P133
138,icmp,sv_P1000
33,dcn-meas,sv_P425
22,argus,sv_P412
19,tcp,sv_P487
0,tcp,sv_P494
111,emcon,sv_P534
129,tcp,sv_P849
69,ipv4,sv_P395
132,prm,sv_P925
34,trunk-2,sv_P480
145,trunk-2,sv_P991
45,tcp,sv_P303
32,icmp,sv_P342
53,ipv4,sv_P759
75,icmp,sv_P267
129,icmp,sv_P938
40,leaf-1,sv_P689
39,igp,sv_P651
1,mux,sv_P903
41,rdp,sv_P207
55,iso-tp4,sv_P738
46,st,sv_P465
104,cbt,sv_P440
15,argus,sv_P354
39,tcp,sv_P559
21,cbt,sv_P663
31,mux,sv_P920
139,prm,sv_P103
130,igmp,sv_P861
17,bbn-rcc-mon,sv_P554
41,dcn-meas,sv_P492
17,udp,sv_P966
123,dcn-meas,sv_P396
122,mfe-nsp,sv_P71
144,udp,sv_P215
53,xns-idp,sv_P816
77,hmp,sv_P428
55,nvp-II,sv_P286
41,iso-tp4,sv_P727
62,rdp,sv_P575
135,tcp,sv_P385
115,udp,sv_P280
94,cbt,sv_P857
116,ggp,sv_P274
58,xnet,sv_P665
103,iso-tp4,sv_P655
84,tcp,sv_P476
31,irtp,sv_P778
35,ggp,sv_P86
66,argus,sv_P939
142,ggp,sv_P608
109,rdp,sv_P337
47,trunk-1,sv_P878
37,xns-idp,sv_P455
132,chaos,sv_P946
77,emcon,sv_P514
147,pup,sv_P464
84,ggp,sv_P597
62,icmp,sv_P621
41,egp,sv_P190
59,igp,sv_P274
91,pup,sv_P684
17,irtp,sv_P423
14,argus,sv_P574
48,emcon,sv_P644
35,dcn-meas,sv_P203
114,ggp,sv_P739
118,prm,sv_P857
35,bbn-rcc-mon,sv_P370
118,pup,sv_P489
105,mux,sv_P470
13,emcon,sv_P973
143,argus,sv_P689
68,xns-idp,sv_P399
53,tcp,sv_P333
93,mux,sv_P222
18,chaos,sv_P959
100,cbt,sv_P50
125,trunk-1,sv_P873
126,cbt,sv_P755
22,icmp,sv_P700
121,emcon,sv_P651
80,emcon,sv_P244
119,igp,sv_P412
129,cbt,sv_P45
142,mfe-nsp,sv_P110
55,prm,sv_P296
0,tcp,sv_P833
91,mfe-nsp,sv_P185
74,mfe-nsp,sv_P72
121,xnet,sv_P707
126,dcn-meas,sv_P915
114,bbn-rcc-mon,sv_P899
25,xnet,sv_P477
63,hmp,sv_P308
57,bbn-rcc-mon,sv_P994
53,dcn-meas,sv_P54
92,xnet,sv_P74
100,chaos,sv_P751
88,st,sv_P521
80,udp,sv_P160
61,argus,sv_P506
63,st,sv_P116
114,ipv4,sv_P622
93,egp,sv_P850
55,bbn-rcc-mon,sv_P480
141,ipv4,sv_P573
84,rdp,sv_P172
63,udp,sv_P784
120,dcn-meas,sv_P503
23,leaf-1,sv_P925
12,argus,sv_P616
53,udp,sv_P991
65,emcon,sv_P431
125,prm,sv_P883
109,udp,sv_P357
16,cbt,sv_P536
105,udp,sv_P280
65,irtp,sv_P387
87,xns-idp,sv_P641
33,pup,sv_P906
112,pup,sv_P692
72,ggp,sv_P22
81,bbn-rcc-mon,sv_P165
12,igmp,sv_P520
55,leaf-2,sv_P706
98,trunk-1,sv_P924
137,leaf-2,sv_P448
4,argus,sv_P361
90,chaos,sv_P329
91,ggp,sv_P471
109,pup,sv_P240
80,st,sv_P790
102,xnet,sv_P88
48,udp,sv_P809
31,xnet,sv_P273
45,leaf-2,sv_P955
146,mux,sv_P239
86,prm,sv_P129
63,dcn-meas,sv_P478
27,udp,sv_P142
103,ggp,sv_P488
54,iso-tp4,sv_P72
120,chaos,sv_P189
64,udp,sv_P154
32,chaos,sv_P825
96,leaf-1,sv_P51
119,netblt,sv_P27
48,chaos,sv_P874
46,mux,sv_P108
35,cbt,sv_P418
117,tcp,sv_P560
14,leaf-2,sv_P816
84,udp,sv_P470
114,bbn-rcc-mon,sv_P270
40,ggp,sv_P785
11,leaf-1,sv_P914
107,udp,sv_P277
28,prm,sv_P409
129,udp,sv_P613
6,tcp,sv_P628
65,trunk-1,sv_P35
48,chaos,sv_P705
47,trunk-2,sv_P579
79,pup,sv_P470
40,rdp,sv_P331
56,ipv4,sv_P254
59,iso-tp4,sv_P944
59,cbt,sv_P214
42,bbn-rcc-mon,sv_P119
102,igp,sv_P308
5,bbn-rcc-mon,sv_P238
84,pup,sv_P489
38,iso-tp4,sv_P651
93,trunk-2,sv_P238
100,leaf-1,sv_P64
82,netblt,sv_P505
74,egp,sv_P898
70,iso-tp4,sv_P381
75,mfe-nsp,sv_P727
21,igp,sv_P192
112,trunk-1,sv_P551
122,irtp,sv_P47
98,xnet,sv_P416
19,tcp,sv_P657
138,chaos,sv_P281
83,bbn-rcc-mon,sv_P535
45,pup,sv_P290
96,igp,sv_P58
54,iso-tp4,sv_P521
38,chaos,sv_P617
35,bbn-rcc-mon,sv_P176
139,emcon,sv_P872
79,icmp,sv_P870
88,trunk-2,sv_P450
142,trunk-1,sv_P219
120,trunk-1,sv_P640
7,netblt,sv_P877
141,leaf-2,sv_P297
115,leaf-1,sv_P347
125,ipv4,sv_P271
34,dcn-meas,sv_P606
48,chaos,sv_P268
30,st,sv_P633
21,igmp,sv_P515
97,mux,sv_P282
13,tcp,sv_P966
51,xnet,sv_P105
57,irtp,sv_P49
45,ggp,sv_P652
108,dcn-meas,sv_P538
109,nvp-II,sv_P602
114,egp,sv_P21
131,igp,sv_P463
37,iso-tp4,sv_P717
0,tcp,sv_P352
129,igp,sv_P699
101,dcn-meas,sv_P980
45,irtp,sv_P531
95,iso-tp4,sv_P375
62,xnet,sv_P935
70,tcp,sv_P397
143,emcon,sv_P359
133,ipv4,sv_P315
112,irtp,sv_P830
91,igp,sv_P342
108,pup,sv_P714
19,argus,sv_P357
128,leaf-2,sv_P333
87,leaf-2,sv_P848
80,ipv4,sv_P342
34,egp,sv_P91
97,cbt,sv_P94
7,nvp-II,sv_P468
5,cbt,sv_P318
119,bbn-rcc-mon,sv_P876
94,ggp,sv_P943
103,trunk-1,sv_P835
107,mfe-nsp,sv_P214
76,xns-idp,sv_P196
15,st,sv_P275
32,prm,sv_P996
31,irtp,sv_P193
8,udp,sv_P64
118,igp,sv_P285
64,pup,sv_P632
36,udp,sv_P365
78,prm,sv_P496
50,hmp,sv_P786
75,cbt,sv_P274
55,prm,sv_P781
122,icmp,sv_P540
55,mux,sv_P808
1,irtp,sv_P516
17,dcn-meas,sv_P696
132,xns-idp,sv_P95
22,nvp-II,sv_P554
7,dcn-meas,sv_P744
136,trunk-2,sv_P56
74,xns-idp,sv_P938
61,tcp,sv_P10
18,emcon,sv_P261
40,trunk-1,sv_P347
108,ggp,sv_P534
2,bbn-rcc-mon,sv_P656
57,bbn-rcc-mon,sv_P535
37,netblt,sv_P183
144,egp,sv_P267
101,argus,sv_P770
18,chaos,sv_P938
6,irtp,sv_P862
143,igp,sv_P45
113,rdp,sv_P201
133,chaos,sv_P765
99,tcp,sv_P66
127,igp,sv_P693
87,igp,sv_P702
2,irtp,sv_P122
39,mfe-nsp,sv_P278
29,rdp,sv_P384
81,argus,sv_P153
79,igmp,sv_P131
